Date,US Production,US Import,US Exports,US Net Import,Inventory,Adjustment,Import from OPEC,Crude Oil and Liquid Fuels Supply,OPEC Production Capacity,Net Inventory Withdrawals,OPEC Production,Value,Nominal
11/30/94,6628332,7034000,102000,6932118,346287000,516617,3488000,9571165,27959177,203106.787,24779368.53,29.8,17.76
10/31/94,6657985,7136000,138000,6998217,343237000,135507.29,3693000,9440404.484,27959177,-619669.128,24774610.92,30.29,18.05
9/30/94,6608804,7868000,61000,7806929,335327000,53900.333,3725000,9439337.667,27959177,-523416.786,24716834.58,30.56,18.19
8/31/94,6544152,7488000,72000,7415639,328519000,408564.194,3861000,9271410.161,27959177,101021.105,24252671.92,30.93,18.39
7/31/94,6500879,7857000,84000,7773143,332527000,226397.323,3861000,9331427.968,27908564,-1252105.26,24498346.69,29.61,17.56
6/30/94,6610590,7358000,107000,7250363,327933000,393313.333,3838000,9379855.667,27959177,-1102999.924,24632483.62,34.37,20.3
5/31/94,6688193,7198000,118000,7080258,331544000,259904.258,3771000,9339128.968,27959177,-2706335.628,24513404.04,32.89,19.37
4/30/94,6612102,6955000,120000,6835867,339391000,302264,3728000,9303302.667,27959177,-734538.343,24370063.76,31.18,18.31
3/31/94,6745622,6372000,41000,6331468,342345000,242361.355,3006000,9380460.548,27959177,880568.964,24520851.1,28.8,16.9
2/28/94,6770326,6313000,116000,6197498,335351000,77211.714,3237000,9313861.429,27959177,2352418.325,24477904.76,25.25,14.79
1/31/94,6816779,5945000,110000,5835290,338067000,733963.032,2892000,9454972.161,27959177,-658883.053,24493494.87,24.8,14.48
